FID,gid,id,gti_key,geom,bezeich,homepage,url,laenge,flyer
rundweg1.fid-3fa83b80_196e4125b86_-1882,3,3,2,"LINESTRING (566538.832 5951513.921, 566539.356 5951553.995, 566547.291 5951556.772, 566552.051 5951562.723, 566553.638 5951570.259, 566555.037 5951575.648, 566562.575 5951586.359, 566569.9476251318 5951600.568113196, 566569.319 5951620.476, 566570.4122019447 5951637.734258232, 566568.5538946929 5951661.272816754, 566567.3150231917 5951663.7505597565, 566562.575 5951675.221, 566560.965806748 5951691.315450658, 566563.765 5951703.982, 566569.0184715058 5951715.62830387, 566573.0448038848 5951722.7518150015, 566584.1946473956 5951734.05651745, 566597.9770928464 5951746.135514586, 566611.1401025467 5951759.9179600375, 566627.4002909999 5951771.222662486, 566643.9701973287 5951781.907929183, 566646.1382224557 5951788.721722439, 566649.0805422711 5951794.1417852575, 566651.2485673982 5951797.548681885, 566652.6422978371 5951799.252130199, 566655.2748997771 5951803.278462579, 566656.0491944654 5951811.021409461, 566658.0623606548 5951813.808870339, 566664.324 5951819.788, 566669.521922041 5951823.100406597, 566678.6585993622 5951835.798839485, 566685.163 5951842.433, 566692.701 5951853.145, 566699.4096970075 5951861.660282074, 566707.9269385783 5951868.938652143, 566728.5231772857 5951883.185674407, 566777.1488837078 5951919.267806879, 566861.082427914 5951977.185049561, 566900.7263159525 5952004.9047994, 566942.8479469933 5952031.540536676, 566953.352 5952037.062, 566958.0241228831 5952039.438342495, 566966.2316465786 5952042.38066231, 566975.0586060247 5952045.477841063, 566979.0849384036 5952049.813891318, 566985.5890137849 5952059.724863327, 566993.3319606674 5952073.817026653, 566999.5263181734 5952088.993202543, 567003.5526505522 5952095.652136861, 567010.0567259336 5952103.8596605575, 567021.8260051949 5952114.235209378, 567050.9394854731 5952140.870946654, 567057.7532787297 5952149.543047163, 567116.5996750367 5952127.86279589, 567299.9526572145 5952109.279723372, 567320.3940369843 5952271.571890032, 567360.0379250228 5952461.119229715, 567362.5156680252 5952471.0302017275, 567364.373975277 5952480.941173738, 567366.8517182794 5952506.338039512, 567366.8517182794 5952532.9737767875, 567353.252 5952558.65, 567349.682 5952579.279, 567346.905 5952598.322, 567342.0742882554 5952614.739295867, 567342.0742882554 5952628.36688238, 567340.2159810036 5952646.949954898, 567340.2159810036 5952656.241491158, 567338.3576737518 5952667.391334668, 567339.596545253 5952695.265943445, 567340.2159810036 5952710.75183721, 567341.747 5952734.991, 567350.475 5952754.43, 567355.633 5952781.406, 567359.6 5952802.829, 567359.204 5952821.871)",Rundweg Im Alsterland,https://www.norderstedt.de/Wirtschaft-und-Entwicklung/Natur-und-Landschaft/Naturrundwege/,,13,https://www.norderstedt.de/media/custom/1087_11044_1.PDF?1550843868
rundweg1.fid-3fa83b80_196e4125b86_-1881,1,1,1,"LINESTRING (567592.636049373 5949356.816965583, 567632.2799374113 5949432.388127156, 567725.8147357518 5949616.360545085, 567677.498747205 5949632.4658746, 567625.4661441545 5949675.826377142, 567594.4943566245 5949643.61571811, 567546.136 5949697.356, 567627.465 5949767.569, 567636.59 5949776.573, 567642.943 5949943.588, 567635.525 5949967.712, 567644.69 5949985.983, 567648.854 5950003.841, 567648.854 5950017.224, 567650.018 5950028.862, 567651.524 5950053.784, 567650.999 5950071.655, 567650.6 5950088.213, 567647.692 5950107.997, 567648.855 5950123.125, 567649.438 5950167.347, 567649.948 5950179.931, 567650.475 5950207.788, 567658.359 5950230.915, 567649.02 5950230.22, 567605.229 5950228.829, 567424.49 5950223.544, 567464.096 5950305.964, 567507.888 5950399.961, 567511.793 5950409.584, 567520.44 5950427.434, 567443.736 5950452.823, 567299.812 5950499.693, 567212.231 5950528.709, 567136.364 5950552.981, 567117.954 5950538.757, 567061.446 5950576.874, 566915.451 5950674.872, 566904.741 5950666.54, 566880.143 5950682.609, 566746.844 5950773.858, 566695.154 5950808.575, 566643.58 5950844.28, 566589.229 5950881.376, 566561.855 5950900.816, 566513.852 5950935.729, 566503.934 5950947.631, 566498.777 5950961.119, 566496.66 5950989.948, 566499.172 5951059.108, 566499.966 5951118.415, 566534.48 5951118.414, 566535.592 5951236.825, 566535.693 5951247.559, 566536.976 5951324.302, 566537.77 5951432.604, 566538.832 5951513.921)",Rundweg Im Alsterland,https://www.norderstedt.de/Wirtschaft-und-Entwicklung/Natur-und-Landschaft/Naturrundwege/,,13,https://www.norderstedt.de/media/custom/1087_11044_1.PDF?1550843868
rundweg1.fid-3fa83b80_196e4125b86_-1880,2,2,3,"LINESTRING (567593.8749208741 5949358.6752728345, 567619.8912223993 5949371.0639878465, 567688.0291549653 5949387.788753113, 567798.42 5949410.298, 567807.73 5949407.971, 567814.13 5949402.152, 567819.366 5949398.66, 567827.513 5949400.406, 567849.623 5949405.059, 567924.681 5949422.511, 568000.224773268 5949443.383111728, 568016.9495385342 5949446.790008357, 568039.8686613064 5949458.869005494, 568051.0185048172 5949472.806309882, 568102.726 5949498.723, 568127.744 5949503.959, 568161.5877862993 5949512.140480046, 568210.832928472 5949525.458348684, 568253.5739952634 5949535.679038568, 568269.9890426545 5949541.2539603235, 568276.694 5949516.173, 568279.2805789135 5949508.423865542, 568288.5721151725 5949509.662737044, 568306.8454698152 5949513.379351547, 568334.7200785922 5949519.263991178, 568363.5238409952 5949523.290323556, 568362.9044052443 5949532.581859814, 568366.6210197479 5949534.440167066, 568335.0297964673 5949675.671518201, 568311.4912379445 5949744.42888652, 568302.819137436 5949802.036411324, 568302.819137436 5949925.923561444, 568312.7301094456 5950012.644566528, 568570.4153816954 5949965.567449482, 568652.1809007747 5950136.531716648, 568678.243 5950189.402, 568699.559 5950206.091, 568762.639 5950251.713, 568788.03 5950274.723, 568810.248 5950306.857, 568826.515 5950327.487, 568869.759 5950380.052, 568952.281 5950479.628, 568959.821 5950515.134, 568962.598 5950523.068, 568968.549 5950532.193, 568977.674 5950544.491, 569101.059 5950667.274, 569139.542 5950701.788, 569174.456 5950764.468, 569184.374 5950781.527, 569195.879 5950790.255, 569210.955 5950804.537, 569219.287 5950818.025, 569230.395 5950835.083, 569278.797 5950898.518, 569320.852 5950956.439, 569391.865 5951051.449, 569391.468 5951054.226, 569351.003 5951099.849, 569351.4 5951111.354, 569361.714 5951128.809, 569503.736 5951365.642, 569596.17 5951525.712, 569615.212 5951550.705, 569627.907 5951549.117, 569640.602 5951548.323, 569651.709 5951549.513, 569645.362 5951554.67, 569641.395 5951559.828, 569638.936 5951611.796, 569636.952 5951651.468, 569634.175 5951691.139, 569626.638 5951706.412, 569590.934 5951763.936, 569570.701 5951790.12, 569519.922 5951852.009, 569472.316 5951903.384, 569379.881 5952003.556, 569324.341 5952066.241, 569317.597 5952079.729, 569307.284 5952141.023, 569286.655 5952262.42, 569278.722 5952314.986, 569265.632 5952448.086, 569262.061 5952479.824, 569262.458 5952503.626, 569264.442 5952520.289, 569285.468 5952574.639, 569392.979 5952615.696, 569499.3 5952657.744, 569539.766 5952674.008, 569567.139 5952688.687, 569337.837 5952761.888, 569074.02 5952847.193, 568773.307 5952945.196, 568560.664 5953014.831, 568393.227 5953068.445, 568281.776 5953104.132, 568204.412 5953128.903, 568084.207 5953167.787, 567944.562 5953211.827, 567919.966 5953221.746, 567905.287 5953222.937, 567871.962 5953219.367, 567856.49 5953217.782, 567793.015 5953211.04, 567775.955 5953209.453, 567743.027 5953208.265, 567742.63 5953203.504, 567706.529 5953199.935, 567620.837 5953193.59, 567563.312 5953190.815, 567526.02 5953193.991, 567501.423 5953197.165, 567384.391 5953208.674, 567321.311 5953215.42, 567321.917 5953211.844, 567337.385 5953065.455, 567347.698 5952957.747, 567354.839 5952890.503, 567356.03 5952868.287, 567359.6 5952834.963, 567359.204 5952821.871)",Rundweg Im Alsterland,https://www.norderstedt.de/Wirtschaft-und-Entwicklung/Natur-und-Landschaft/Naturrundwege/,,13,https://www.norderstedt.de/media/custom/1087_11044_1.PDF?1550843868
rundweg1.fid-3fa83b80_196e4125b86_-187f,3,3,2,"LINESTRING (566538.832 5951513.921, 566539.356 5951553.995, 566547.291 5951556.772, 566552.051 5951562.723, 566553.638 5951570.259, 566555.037 5951575.648, 566562.575 5951586.359, 566569.9476251318 5951600.568113196, 566569.319 5951620.476, 566570.4122019447 5951637.734258232, 566568.5538946929 5951661.272816754, 566567.3150231917 5951663.7505597565, 566562.575 5951675.221, 566560.965806748 5951691.315450658, 566563.765 5951703.982, 566569.0184715058 5951715.62830387, 566573.0448038848 5951722.7518150015, 566584.1946473956 5951734.05651745, 566597.9770928464 5951746.135514586, 566611.1401025467 5951759.9179600375, 566627.4002909999 5951771.222662486, 566643.9701973287 5951781.907929183, 566646.1382224557 5951788.721722439, 566649.0805422711 5951794.1417852575, 566651.2485673982 5951797.548681885, 566652.6422978371 5951799.252130199, 566655.2748997771 5951803.278462579, 566656.0491944654 5951811.021409461, 566658.0623606548 5951813.808870339, 566664.324 5951819.788, 566669.521922041 5951823.100406597, 566678.6585993622 5951835.798839485, 566685.163 5951842.433, 566692.701 5951853.145, 566699.4096970075 5951861.660282074, 566707.9269385783 5951868.938652143, 566728.5231772857 5951883.185674407, 566777.1488837078 5951919.267806879, 566861.082427914 5951977.185049561, 566900.7263159525 5952004.9047994, 566942.8479469933 5952031.540536676, 566953.352 5952037.062, 566958.0241228831 5952039.438342495, 566966.2316465786 5952042.38066231, 566975.0586060247 5952045.477841063, 566979.0849384036 5952049.813891318, 566985.5890137849 5952059.724863327, 566993.3319606674 5952073.817026653, 566999.5263181734 5952088.993202543, 567003.5526505522 5952095.652136861, 567010.0567259336 5952103.8596605575, 567021.8260051949 5952114.235209378, 567050.9394854731 5952140.870946654, 567057.7532787297 5952149.543047163, 567116.5996750367 5952127.86279589, 567299.9526572145 5952109.279723372, 567320.3940369843 5952271.571890032, 567360.0379250228 5952461.119229715, 567362.5156680252 5952471.0302017275, 567364.373975277 5952480.941173738, 567366.8517182794 5952506.338039512, 567366.8517182794 5952532.9737767875, 567353.252 5952558.65, 567349.682 5952579.279, 567346.905 5952598.322, 567342.0742882554 5952614.739295867, 567342.0742882554 5952628.36688238, 567340.2159810036 5952646.949954898, 567340.2159810036 5952656.241491158, 567338.3576737518 5952667.391334668, 567339.596545253 5952695.265943445, 567340.2159810036 5952710.75183721, 567341.747 5952734.991, 567350.475 5952754.43, 567355.633 5952781.406, 567359.6 5952802.829, 567359.204 5952821.871)",Rundweg Im Alsterland,https://www.norderstedt.de/Wirtschaft-und-Entwicklung/Natur-und-Landschaft/Naturrundwege/,,13,https://www.norderstedt.de/media/custom/1087_11044_1.PDF?1550843868
rundweg1.fid-3fa83b80_196e4125b86_-187e,1,1,1,"LINESTRING (567592.636049373 5949356.816965583, 567632.2799374113 5949432.388127156, 567725.8147357518 5949616.360545085, 567677.498747205 5949632.4658746, 567625.4661441545 5949675.826377142, 567594.4943566245 5949643.61571811, 567546.136 5949697.356, 567627.465 5949767.569, 567636.59 5949776.573, 567642.943 5949943.588, 567635.525 5949967.712, 567644.69 5949985.983, 567648.854 5950003.841, 567648.854 5950017.224, 567650.018 5950028.862, 567651.524 5950053.784, 567650.999 5950071.655, 567650.6 5950088.213, 567647.692 5950107.997, 567648.855 5950123.125, 567649.438 5950167.347, 567649.948 5950179.931, 567650.475 5950207.788, 567658.359 5950230.915, 567649.02 5950230.22, 567605.229 5950228.829, 567424.49 5950223.544, 567464.096 5950305.964, 567507.888 5950399.961, 567511.793 5950409.584, 567520.44 5950427.434, 567443.736 5950452.823, 567299.812 5950499.693, 567212.231 5950528.709, 567136.364 5950552.981, 567117.954 5950538.757, 567061.446 5950576.874, 566915.451 5950674.872, 566904.741 5950666.54, 566880.143 5950682.609, 566746.844 5950773.858, 566695.154 5950808.575, 566643.58 5950844.28, 566589.229 5950881.376, 566561.855 5950900.816, 566513.852 5950935.729, 566503.934 5950947.631, 566498.777 5950961.119, 566496.66 5950989.948, 566499.172 5951059.108, 566499.966 5951118.415, 566534.48 5951118.414, 566535.592 5951236.825, 566535.693 5951247.559, 566536.976 5951324.302, 566537.77 5951432.604, 566538.832 5951513.921)",Rundweg Im Alsterland,https://www.norderstedt.de/Wirtschaft-und-Entwicklung/Natur-und-Landschaft/Naturrundwege/,,13,https://www.norderstedt.de/media/custom/1087_11044_1.PDF?1550843868
rundweg1.fid-3fa83b80_196e4125b86_-187d,2,2,3,"LINESTRING (567593.8749208741 5949358.6752728345, 567619.8912223993 5949371.0639878465, 567688.0291549653 5949387.788753113, 567798.42 5949410.298, 567807.73 5949407.971, 567814.13 5949402.152, 567819.366 5949398.66, 567827.513 5949400.406, 567849.623 5949405.059, 567924.681 5949422.511, 568000.224773268 5949443.383111728, 568016.9495385342 5949446.790008357, 568039.8686613064 5949458.869005494, 568051.0185048172 5949472.806309882, 568102.726 5949498.723, 568127.744 5949503.959, 568161.5877862993 5949512.140480046, 568210.832928472 5949525.458348684, 568253.5739952634 5949535.679038568, 568269.9890426545 5949541.2539603235, 568276.694 5949516.173, 568279.2805789135 5949508.423865542, 568288.5721151725 5949509.662737044, 568306.8454698152 5949513.379351547, 568334.7200785922 5949519.263991178, 568363.5238409952 5949523.290323556, 568362.9044052443 5949532.581859814, 568366.6210197479 5949534.440167066, 568335.0297964673 5949675.671518201, 568311.4912379445 5949744.42888652, 568302.819137436 5949802.036411324, 568302.819137436 5949925.923561444, 568312.7301094456 5950012.644566528, 568570.4153816954 5949965.567449482, 568652.1809007747 5950136.531716648, 568678.243 5950189.402, 568699.559 5950206.091, 568762.639 5950251.713, 568788.03 5950274.723, 568810.248 5950306.857, 568826.515 5950327.487, 568869.759 5950380.052, 568952.281 5950479.628, 568959.821 5950515.134, 568962.598 5950523.068, 568968.549 5950532.193, 568977.674 5950544.491, 569101.059 5950667.274, 569139.542 5950701.788, 569174.456 5950764.468, 569184.374 5950781.527, 569195.879 5950790.255, 569210.955 5950804.537, 569219.287 5950818.025, 569230.395 5950835.083, 569278.797 5950898.518, 569320.852 5950956.439, 569391.865 5951051.449, 569391.468 5951054.226, 569351.003 5951099.849, 569351.4 5951111.354, 569361.714 5951128.809, 569503.736 5951365.642, 569596.17 5951525.712, 569615.212 5951550.705, 569627.907 5951549.117, 569640.602 5951548.323, 569651.709 5951549.513, 569645.362 5951554.67, 569641.395 5951559.828, 569638.936 5951611.796, 569636.952 5951651.468, 569634.175 5951691.139, 569626.638 5951706.412, 569590.934 5951763.936, 569570.701 5951790.12, 569519.922 5951852.009, 569472.316 5951903.384, 569379.881 5952003.556, 569324.341 5952066.241, 569317.597 5952079.729, 569307.284 5952141.023, 569286.655 5952262.42, 569278.722 5952314.986, 569265.632 5952448.086, 569262.061 5952479.824, 569262.458 5952503.626, 569264.442 5952520.289, 569285.468 5952574.639, 569392.979 5952615.696, 569499.3 5952657.744, 569539.766 5952674.008, 569567.139 5952688.687, 569337.837 5952761.888, 569074.02 5952847.193, 568773.307 5952945.196, 568560.664 5953014.831, 568393.227 5953068.445, 568281.776 5953104.132, 568204.412 5953128.903, 568084.207 5953167.787, 567944.562 5953211.827, 567919.966 5953221.746, 567905.287 5953222.937, 567871.962 5953219.367, 567856.49 5953217.782, 567793.015 5953211.04, 567775.955 5953209.453, 567743.027 5953208.265, 567742.63 5953203.504, 567706.529 5953199.935, 567620.837 5953193.59, 567563.312 5953190.815, 567526.02 5953193.991, 567501.423 5953197.165, 567384.391 5953208.674, 567321.311 5953215.42, 567321.917 5953211.844, 567337.385 5953065.455, 567347.698 5952957.747, 567354.839 5952890.503, 567356.03 5952868.287, 567359.6 5952834.963, 567359.204 5952821.871)",Rundweg Im Alsterland,https://www.norderstedt.de/Wirtschaft-und-Entwicklung/Natur-und-Landschaft/Naturrundwege/,,13,https://www.norderstedt.de/media/custom/1087_11044_1.PDF?1550843868
rundweg1.fid-3fa83b80_196e4125b86_-187c,3,3,2,"LINESTRING (566538.832 5951513.921, 566539.356 5951553.995, 566547.291 5951556.772, 566552.051 5951562.723, 566553.638 5951570.259, 566555.037 5951575.648, 566562.575 5951586.359, 566569.9476251318 5951600.568113196, 566569.319 5951620.476, 566570.4122019447 5951637.734258232, 566568.5538946929 5951661.272816754, 566567.3150231917 5951663.7505597565, 566562.575 5951675.221, 566560.965806748 5951691.315450658, 566563.765 5951703.982, 566569.0184715058 5951715.62830387, 566573.0448038848 5951722.7518150015, 566584.1946473956 5951734.05651745, 566597.9770928464 5951746.135514586, 566611.1401025467 5951759.9179600375, 566627.4002909999 5951771.222662486, 566643.9701973287 5951781.907929183, 566646.1382224557 5951788.721722439, 566649.0805422711 5951794.1417852575, 566651.2485673982 5951797.548681885, 566652.6422978371 5951799.252130199, 566655.2748997771 5951803.278462579, 566656.0491944654 5951811.021409461, 566658.0623606548 5951813.808870339, 566664.324 5951819.788, 566669.521922041 5951823.100406597, 566678.6585993622 5951835.798839485, 566685.163 5951842.433, 566692.701 5951853.145, 566699.4096970075 5951861.660282074, 566707.9269385783 5951868.938652143, 566728.5231772857 5951883.185674407, 566777.1488837078 5951919.267806879, 566861.082427914 5951977.185049561, 566900.7263159525 5952004.9047994, 566942.8479469933 5952031.540536676, 566953.352 5952037.062, 566958.0241228831 5952039.438342495, 566966.2316465786 5952042.38066231, 566975.0586060247 5952045.477841063, 566979.0849384036 5952049.813891318, 566985.5890137849 5952059.724863327, 566993.3319606674 5952073.817026653, 566999.5263181734 5952088.993202543, 567003.5526505522 5952095.652136861, 567010.0567259336 5952103.8596605575, 567021.8260051949 5952114.235209378, 567050.9394854731 5952140.870946654, 567057.7532787297 5952149.543047163, 567116.5996750367 5952127.86279589, 567299.9526572145 5952109.279723372, 567320.3940369843 5952271.571890032, 567360.0379250228 5952461.119229715, 567362.5156680252 5952471.0302017275, 567364.373975277 5952480.941173738, 567366.8517182794 5952506.338039512, 567366.8517182794 5952532.9737767875, 567353.252 5952558.65, 567349.682 5952579.279, 567346.905 5952598.322, 567342.0742882554 5952614.739295867, 567342.0742882554 5952628.36688238, 567340.2159810036 5952646.949954898, 567340.2159810036 5952656.241491158, 567338.3576737518 5952667.391334668, 567339.596545253 5952695.265943445, 567340.2159810036 5952710.75183721, 567341.747 5952734.991, 567350.475 5952754.43, 567355.633 5952781.406, 567359.6 5952802.829, 567359.204 5952821.871)",Rundweg Im Alsterland,https://www.norderstedt.de/Wirtschaft-und-Entwicklung/Natur-und-Landschaft/Naturrundwege/,,13,https://www.norderstedt.de/media/custom/1087_11044_1.PDF?1550843868
rundweg1.fid-3fa83b80_196e4125b86_-187b,1,1,1,"LINESTRING (567592.636049373 5949356.816965583, 567632.2799374113 5949432.388127156, 567725.8147357518 5949616.360545085, 567677.498747205 5949632.4658746, 567625.4661441545 5949675.826377142, 567594.4943566245 5949643.61571811, 567546.136 5949697.356, 567627.465 5949767.569, 567636.59 5949776.573, 567642.943 5949943.588, 567635.525 5949967.712, 567644.69 5949985.983, 567648.854 5950003.841, 567648.854 5950017.224, 567650.018 5950028.862, 567651.524 5950053.784, 567650.999 5950071.655, 567650.6 5950088.213, 567647.692 5950107.997, 567648.855 5950123.125, 567649.438 5950167.347, 567649.948 5950179.931, 567650.475 5950207.788, 567658.359 5950230.915, 567649.02 5950230.22, 567605.229 5950228.829, 567424.49 5950223.544, 567464.096 5950305.964, 567507.888 5950399.961, 567511.793 5950409.584, 567520.44 5950427.434, 567443.736 5950452.823, 567299.812 5950499.693, 567212.231 5950528.709, 567136.364 5950552.981, 567117.954 5950538.757, 567061.446 5950576.874, 566915.451 5950674.872, 566904.741 5950666.54, 566880.143 5950682.609, 566746.844 5950773.858, 566695.154 5950808.575, 566643.58 5950844.28, 566589.229 5950881.376, 566561.855 5950900.816, 566513.852 5950935.729, 566503.934 5950947.631, 566498.777 5950961.119, 566496.66 5950989.948, 566499.172 5951059.108, 566499.966 5951118.415, 566534.48 5951118.414, 566535.592 5951236.825, 566535.693 5951247.559, 566536.976 5951324.302, 566537.77 5951432.604, 566538.832 5951513.921)",Rundweg Im Alsterland,https://www.norderstedt.de/Wirtschaft-und-Entwicklung/Natur-und-Landschaft/Naturrundwege/,,13,https://www.norderstedt.de/media/custom/1087_11044_1.PDF?1550843868
rundweg1.fid-3fa83b80_196e4125b86_-187a,2,2,3,"LINESTRING (567593.8749208741 5949358.6752728345, 567619.8912223993 5949371.0639878465, 567688.0291549653 5949387.788753113, 567798.42 5949410.298, 567807.73 5949407.971, 567814.13 5949402.152, 567819.366 5949398.66, 567827.513 5949400.406, 567849.623 5949405.059, 567924.681 5949422.511, 568000.224773268 5949443.383111728, 568016.9495385342 5949446.790008357, 568039.8686613064 5949458.869005494, 568051.0185048172 5949472.806309882, 568102.726 5949498.723, 568127.744 5949503.959, 568161.5877862993 5949512.140480046, 568210.832928472 5949525.458348684, 568253.5739952634 5949535.679038568, 568269.9890426545 5949541.2539603235, 568276.694 5949516.173, 568279.2805789135 5949508.423865542, 568288.5721151725 5949509.662737044, 568306.8454698152 5949513.379351547, 568334.7200785922 5949519.263991178, 568363.5238409952 5949523.290323556, 568362.9044052443 5949532.581859814, 568366.6210197479 5949534.440167066, 568335.0297964673 5949675.671518201, 568311.4912379445 5949744.42888652, 568302.819137436 5949802.036411324, 568302.819137436 5949925.923561444, 568312.7301094456 5950012.644566528, 568570.4153816954 5949965.567449482, 568652.1809007747 5950136.531716648, 568678.243 5950189.402, 568699.559 5950206.091, 568762.639 5950251.713, 568788.03 5950274.723, 568810.248 5950306.857, 568826.515 5950327.487, 568869.759 5950380.052, 568952.281 5950479.628, 568959.821 5950515.134, 568962.598 5950523.068, 568968.549 5950532.193, 568977.674 5950544.491, 569101.059 5950667.274, 569139.542 5950701.788, 569174.456 5950764.468, 569184.374 5950781.527, 569195.879 5950790.255, 569210.955 5950804.537, 569219.287 5950818.025, 569230.395 5950835.083, 569278.797 5950898.518, 569320.852 5950956.439, 569391.865 5951051.449, 569391.468 5951054.226, 569351.003 5951099.849, 569351.4 5951111.354, 569361.714 5951128.809, 569503.736 5951365.642, 569596.17 5951525.712, 569615.212 5951550.705, 569627.907 5951549.117, 569640.602 5951548.323, 569651.709 5951549.513, 569645.362 5951554.67, 569641.395 5951559.828, 569638.936 5951611.796, 569636.952 5951651.468, 569634.175 5951691.139, 569626.638 5951706.412, 569590.934 5951763.936, 569570.701 5951790.12, 569519.922 5951852.009, 569472.316 5951903.384, 569379.881 5952003.556, 569324.341 5952066.241, 569317.597 5952079.729, 569307.284 5952141.023, 569286.655 5952262.42, 569278.722 5952314.986, 569265.632 5952448.086, 569262.061 5952479.824, 569262.458 5952503.626, 569264.442 5952520.289, 569285.468 5952574.639, 569392.979 5952615.696, 569499.3 5952657.744, 569539.766 5952674.008, 569567.139 5952688.687, 569337.837 5952761.888, 569074.02 5952847.193, 568773.307 5952945.196, 568560.664 5953014.831, 568393.227 5953068.445, 568281.776 5953104.132, 568204.412 5953128.903, 568084.207 5953167.787, 567944.562 5953211.827, 567919.966 5953221.746, 567905.287 5953222.937, 567871.962 5953219.367, 567856.49 5953217.782, 567793.015 5953211.04, 567775.955 5953209.453, 567743.027 5953208.265, 567742.63 5953203.504, 567706.529 5953199.935, 567620.837 5953193.59, 567563.312 5953190.815, 567526.02 5953193.991, 567501.423 5953197.165, 567384.391 5953208.674, 567321.311 5953215.42, 567321.917 5953211.844, 567337.385 5953065.455, 567347.698 5952957.747, 567354.839 5952890.503, 567356.03 5952868.287, 567359.6 5952834.963, 567359.204 5952821.871)",Rundweg Im Alsterland,https://www.norderstedt.de/Wirtschaft-und-Entwicklung/Natur-und-Landschaft/Naturrundwege/,,13,https://www.norderstedt.de/media/custom/1087_11044_1.PDF?1550843868
rundweg1.fid-3fa83b80_196e4125b86_-1879,3,3,2,"LINESTRING (566538.832 5951513.921, 566539.356 5951553.995, 566547.291 5951556.772, 566552.051 5951562.723, 566553.638 5951570.259, 566555.037 5951575.648, 566562.575 5951586.359, 566569.9476251318 5951600.568113196, 566569.319 5951620.476, 566570.4122019447 5951637.734258232, 566568.5538946929 5951661.272816754, 566567.3150231917 5951663.7505597565, 566562.575 5951675.221, 566560.965806748 5951691.315450658, 566563.765 5951703.982, 566569.0184715058 5951715.62830387, 566573.0448038848 5951722.7518150015, 566584.1946473956 5951734.05651745, 566597.9770928464 5951746.135514586, 566611.1401025467 5951759.9179600375, 566627.4002909999 5951771.222662486, 566643.9701973287 5951781.907929183, 566646.1382224557 5951788.721722439, 566649.0805422711 5951794.1417852575, 566651.2485673982 5951797.548681885, 566652.6422978371 5951799.252130199, 566655.2748997771 5951803.278462579, 566656.0491944654 5951811.021409461, 566658.0623606548 5951813.808870339, 566664.324 5951819.788, 566669.521922041 5951823.100406597, 566678.6585993622 5951835.798839485, 566685.163 5951842.433, 566692.701 5951853.145, 566699.4096970075 5951861.660282074, 566707.9269385783 5951868.938652143, 566728.5231772857 5951883.185674407, 566777.1488837078 5951919.267806879, 566861.082427914 5951977.185049561, 566900.7263159525 5952004.9047994, 566942.8479469933 5952031.540536676, 566953.352 5952037.062, 566958.0241228831 5952039.438342495, 566966.2316465786 5952042.38066231, 566975.0586060247 5952045.477841063, 566979.0849384036 5952049.813891318, 566985.5890137849 5952059.724863327, 566993.3319606674 5952073.817026653, 566999.5263181734 5952088.993202543, 567003.5526505522 5952095.652136861, 567010.0567259336 5952103.8596605575, 567021.8260051949 5952114.235209378, 567050.9394854731 5952140.870946654, 567057.7532787297 5952149.543047163, 567116.5996750367 5952127.86279589, 567299.9526572145 5952109.279723372, 567320.3940369843 5952271.571890032, 567360.0379250228 5952461.119229715, 567362.5156680252 5952471.0302017275, 567364.373975277 5952480.941173738, 567366.8517182794 5952506.338039512, 567366.8517182794 5952532.9737767875, 567353.252 5952558.65, 567349.682 5952579.279, 567346.905 5952598.322, 567342.0742882554 5952614.739295867, 567342.0742882554 5952628.36688238, 567340.2159810036 5952646.949954898, 567340.2159810036 5952656.241491158, 567338.3576737518 5952667.391334668, 567339.596545253 5952695.265943445, 567340.2159810036 5952710.75183721, 567341.747 5952734.991, 567350.475 5952754.43, 567355.633 5952781.406, 567359.6 5952802.829, 567359.204 5952821.871)",Rundweg Im Alsterland,https://www.norderstedt.de/Wirtschaft-und-Entwicklung/Natur-und-Landschaft/Naturrundwege/,,13,https://www.norderstedt.de/media/custom/1087_11044_1.PDF?1550843868
